nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Thời Trang Nữ,Áo,Áo hai dây và ba lỗ,-,-,100350,
Thời Trang Nữ,Áo,Áo ống,-,-,100351,
Thời Trang Nữ,Áo,Áo thun,-,-,100352,
Thời Trang Nữ,Áo,Áo sơ mi,-,-,100353,
Thời Trang Nữ,Áo,Áo polo,-,-,100354,
Thời Trang Nữ,Áo,Áo liền thân,-,-,100355,
Thời Trang Nữ,Quần,Quần legging,-,-,100357,
Thời Trang Nữ,Quần,Quần dài,-,-,100358,
Thời Trang Nữ,Quần đùi,Quần đùi,-,-,100360,
Thời Trang Nữ,Quần đùi,Quần váy,-,-,100361,
Thời Trang Nữ,Váy,-,-,-,100102,
Thời Trang Nữ,Quần jeans,-,-,-,100103,
Thời Trang Nữ,Đầm,-,-,-,100104,
Thời Trang Nữ,Váy cưới,-,-,-,100105,
Thời Trang Nữ,Đồ liền thân,Đồ bay (Jumpsuits),-,-,100363,
Thời Trang Nữ,Đồ liền thân,Đồ bay ngắn (playsuits),-,-,100364,
Thời Trang Nữ,Đồ liền thân,Quần yếm,-,-,100365,
Thời Trang Nữ,Áo khoác,Áo khoác mùa đông,-,-,100367,
Thời Trang Nữ,Áo khoác,Áo choàng,-,-,100368,
Thời Trang Nữ,Áo khoác,Áo blazer,-,-,100369,
Thời Trang Nữ,Áo khoác,Áo khoác ngoài,-,-,100370,
Thời Trang Nữ,Áo khoác,Áo vest,-,-,100371,
Thời Trang Nữ,Áo len,-,-,-,100108,
Thời Trang Nữ,Hoodie và Áo nỉ,Áo khoác nỉ,-,-,100373,
Thời Trang Nữ,Hoodie và Áo nỉ,Áo hoodies,-,-,100374,
Thời Trang Nữ,Bộ,Bộ đồ đôi,-,-,100376,
Thời Trang Nữ,Bộ,Bộ đồ gia đình,-,-,100377,
Thời Trang Nữ,Bộ,Đồ lẻ,-,-,100378,
Thời Trang Nữ,Đồ lót,Bộ đồ lót,-,-,100380,
Thời Trang Nữ,Đồ lót,Áo ngực,-,-,100381,
Thời Trang Nữ,Đồ lót,Quần lót,-,-,100382,
Thời Trang Nữ,Đồ lót,Đồ lót giữ nhiệt,-,-,100383,
Thời Trang Nữ,Đồ lót,Phụ kiện đồ lót,Dây áo lót,-,100523,
Thời Trang Nữ,Đồ lót,Phụ kiện đồ lót,Miếng mút rời,-,100524,
Thời Trang Nữ,Đồ lót,Phụ kiện đồ lót,Miếng dán ngực,-,100525,
Thời Trang Nữ,Đồ lót,Đồ định hình,-,-,100385,
Thời Trang Nữ,Đồ lót,Đồ lót bảo hộ,-,-,100386,
Thời Trang Nữ,Đồ lót,Đồ lót gợi cảm,-,-,100387,
Thời Trang Nữ,Đồ ngủ,Pyjama,-,-,100389,
Thời Trang Nữ,Đồ ngủ,Váy ngủ,-,-,100390,
Thời Trang Nữ,Đồ ngủ,"Áo choàng ngủ, Áo khoác kimono",-,-,100391,
Thời Trang Nữ,Đồ Bầu,Áo ngực cho con bú,-,-,100393,
Thời Trang Nữ,Đồ Bầu,Đầm bầu,-,-,100394,
Thời Trang Nữ,Đồ Bầu,Áo bầu,-,-,100395,
Thời Trang Nữ,Đồ Bầu,Đồ mặc cho con bú,-,-,100396,
Thời Trang Nữ,Đồ Bầu,Bộ đồ bầu,-,-,100397,
Thời Trang Nữ,Đồ Bầu,"Quần bầu, Váy bầu",-,-,100398,
Thời Trang Nữ,Đồ truyền thống,Áo,-,-,100400,
Thời Trang Nữ,Đồ truyền thống,Quần và chân váy,-,-,100401,
Thời Trang Nữ,Đồ truyền thống,Bộ,-,-,100402,
Thời Trang Nữ,Đồ truyền thống,Đầm,-,-,100403,
Thời Trang Nữ,Đồ truyền thống,Khác,-,-,100404,
Thời Trang Nữ,Đồ hóa trang,-,-,-,100115,
Thời Trang Nữ,Vải,Vải cotton,-,-,100407,
Thời Trang Nữ,Vải,Vải len,-,-,100408,
Thời Trang Nữ,Vải,"Vải nhung, lụa, satin",-,-,100409,
Thời Trang Nữ,Vải,Vải da,-,-,100410,
Thời Trang Nữ,Vải,Vải nylon,-,-,100411,
Thời Trang Nữ,Vải,Vải denim,-,-,100412,
Thời Trang Nữ,Vải,Vải canvas,-,-,100413,
Thời Trang Nữ,Vớ/ Tất,Tất,-,-,100417,
Thời Trang Nữ,Vớ/ Tất,Quần tất,-,-,100418,
Thời Trang Nam,Quần jean,-,-,-,100047,
Thời Trang Nam,Hoodie & Áo nỉ,Áo hoodie,-,-,100226,
Thời Trang Nam,Hoodie & Áo nỉ,Áo nỉ,-,-,100227,
Thời Trang Nam,Áo len,-,-,-,100049,
Thời Trang Nam,Áo khoác,Áo khoác mùa đông & Áo choàng,-,-,100229,
Thời Trang Nam,Áo khoác,Áo khoác,-,-,100230,
Thời Trang Nam,Áo khoác,Áo khoác vest,-,-,100231,
Thời Trang Nam,Com lê,Bộ Com lê,-,-,100233,
